id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Description
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,"This black belts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,"This white watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,"This black formal shoes is a must-have for fall fashion. Designed for formal use, it combines style and comfort effortlessly."
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,"This brown kurtas is a must-have for summer fashion. Designed for ethnic use, it combines style and comfort effortlessly."
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,"This blue briefs is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,"This black formal shoes is a must-have for summer fashion. Designed for formal use, it combines style and comfort effortlessly."
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,"This black tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,"This purple tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,"This white shirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,"This silver watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,"This red tshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,"This grey sarees is a must-have for fall fashion. Designed for ethnic use, it combines style and comfort effortlessly."
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,"This black tshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
45258,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,"This beige handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,"This black casual shoes is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,"This purple casual shoes is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume,"This pink perfume and body mist is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,"This white sports shoes is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,"This blue shorts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012,Casual,ID Men Red Shoes,"This red casual shoes is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,"This black handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,"This khaki casual shoes is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,"This pink shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,"This black tshirts is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,"This blue sweatshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,"This red tshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats,"This black heels is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,"This brown heels is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,"This green tops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,"This pink sandals is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,Image Men Sunglasses,"This black sunglasses is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,"This silver flip flops is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,"This pink tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,"This grey innerwear vests is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,"This black flip flops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,"This silver pendant is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
44970,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,"This white watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,general,Streetwear Ash Nail Polish # 31,"This bronze nail polish is a must-have for spring fashion. Designed for general use, it combines style and comfort effortlessly."
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,"This orange laptop bag is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,"This white sports shoes is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top,"This off white tops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf,"This brown scarves is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,general,Just Natural Unisex Charcoal Rain Jacket,"This coffee brown rain jacket is a must-have for summer fashion. Designed for general use, it combines style and comfort effortlessly."
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,"This black tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,"This blue dresses is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,"This red briefs is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,"This black sandals is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,"This white night suits is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,"This black tshirts is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,"This red perfume and body mist is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,"This blue skirts is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,"This black tops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,"This white casual shoes is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,"This white sports shoes is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,"This blue casual shoes is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,"This navy blue flip flops is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,"This white tshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,"This grey sports shoes is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,"This blue sports shoes is a must-have for summer fashion. Designed for sports use, it combines style and comfort effortlessly."
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,"This yellow shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet,"This black wallets is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels,"This grey heels is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,"This beige wallets is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,"This brown sandals is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,"This white shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,"This white briefs is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,"This charcoal blazers is a must-have for summer fashion. Designed for formal use, it combines style and comfort effortlessly."
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,"This black jeans is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,"This red flip flops is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,"This blue handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,"This silver flats is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,"This green kurtas is a must-have for summer fashion. Designed for ethnic use, it combines style and comfort effortlessly."
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,"This silver ring is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,"This blue tshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,"This white watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,"This copper sunglasses is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,"This black sports shoes is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,"This green shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,"This white sandals is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
8110,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch,"This black watches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,"This blue sweatshirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,"This black tshirts is a must-have for fall fashion. Designed for sports use, it combines style and comfort effortlessly."
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume,"This gold perfume and body mist is a must-have for spring fashion. Designed for casual use, it combines style and comfort effortlessly."
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit,"This black kurta sets is a must-have for summer fashion. Designed for ethnic use, it combines style and comfort effortlessly."
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch,"This red clutches is a must-have for winter fashion. Designed for casual use, it combines style and comfort effortlessly."
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015,Casual,Estd. 1977 Men Beige & Green Sandals,"This beige sandals is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag,"This brown handbags is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Coolers Men Black Sandals,"This black sandals is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts,"This red shirts is a must-have for fall fashion. Designed for casual use, it combines style and comfort effortlessly."
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,"This pink shrug is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,"This grey briefs is a must-have for summer fashion. Designed for casual use, it combines style and comfort effortlessly."
